gene,log2FoldChange,pvalue,
SMU_507,4.563354228,1.3385E-285,
SMU_508,4.561636947,1.3385E-285,
SMU_137,3.995807973,3.1456E-211,
SMU_139,3.796656116,2.0238E-172,
SMU_141,3.783356111,2.5974E-117,
SMU_138,3.783222133,1.9929E-173,
SMU_529,3.544128191,2.32904E-08,
SMU_140,3.533557436,7.166E-141,
SMU_1498,3.108465739,1.42326E-95,
SMU_2027,3.08108524,1.7194E-131,
SMU_629,2.893042885,5.5445E-209,
SMU_924,2.479001675,4.9209E-125,
SMU_528c,2.448413385,3.52443E-59,
SMU_2057c,2.444575586,1.32149E-89,
SMU_1296,2.42996245,5.8742E-137,
SMU_664,2.415973454,4.12801E-71,
SMU_663,2.407878032,4.19787E-55,
SMU_765,2.298559317,5.6492E-108,
SMU_1981c,2.293659847,2.29424E-11,
SMU_1980c,2.28896117,3.90058E-12,
SMU_1869,2.284445148,2.686E-144,
SMU_665,2.239668191,9.26863E-38,
SMU_262,2.21098444,2.92792E-60,
SMU_764,2.182254018,5.12559E-83,
SMU_1957,2.162479927,2.16808E-79,
SMU_1958c,2.147875615,3.61634E-70,
SMU_263,2.129485754,1.28415E-51,
SMU_1867c,2.119499073,6.20872E-77,
SMU_1956c,2.065517699,1.93359E-41,
SMU_1760c,2.020251684,1.30149E-62,
SMU_871,1.990075998,7.04738E-84,
SMU_200c,1.981517833,4.40017E-09,
SMU_1982c,1.95906882,5.18331E-09,
SMU_1763c,1.940563968,2.60432E-40,
SMU_527,1.930364022,7.36827E-83,
SMU_1752c,1.930080495,2.15439E-36,
SMU_1895c,1.928717246,7.36347E-25,
SMU_205c,1.913386284,1.21697E-08,
SMU_1754c,1.913186438,4.77481E-34,
SMU_2147c,1.900662595,3.20433E-98,
SMU_1764c,1.899574872,6.78434E-75,
SMU_1762c,1.876751263,5.67995E-30,
SMU_872,1.872812523,4.62988E-63,
SMU_540,1.869050236,1.29938E-76,
SMU_1492,1.85407125,8.71501E-09,
SMU_41,1.82977562,0.070703773,
SMU_1702c,1.823684926,3.22791E-47,
SMU_654,1.811439952,8.22739E-15,
SMU_204c,1.798183653,3.46768E-07,
SMU_202c,1.795213605,2.30963E-11,
SMU_1761c,1.791903575,2.98968E-38,
SMU_1703c,1.78434094,2.0253E-64,
SMU_1758c,1.780940355,3.03125E-36,
SMU_1603,1.775417834,4.49619E-25,
SMU_1757c,1.771812312,4.95023E-29,
SMU_1961c,1.77130462,1.90567E-22,
SMU_119,1.744689919,1.78845E-42,
SMU_264,1.736602059,2.05093E-48,
SMU_215c,1.717860824,3.16073E-05,
SMU_1496,1.712000057,2.05032E-08,
SMU_1755c,1.697778844,1.66477E-23,
SMU_1657c,1.682068762,1.23007E-13,
SMU_1063,1.679607654,6.12404E-83,
SMU_313,1.67775778,1.02284E-18,
SMU_870,1.677196533,8.92287E-75,
SMU_275,1.664243868,7.2009E-43,
SMU_261c,1.645021081,4.41966E-18,
SMU_1561,1.643357381,9.20093E-47,
SMU_1479,1.643169483,1.89796E-22,
SMU_1945,1.607565515,1.11628E-44,
SMU_118c,1.605573915,7.44015E-31,
SMU_1495,1.590264608,3.10298E-10,
SMU_1753c,1.589557695,5.4861E-21,
SMU_1494,1.588609805,6.25323E-12,
SMU_1960c,1.57811125,7.33277E-26,
SMU_1475c,1.573777988,4.81103E-35,
SMU_1062,1.567342908,2.66476E-71,
SMU_666,1.539505708,3.8919E-44,
SMU_738,1.538950792,2.89067E-14,
SMU_1562,1.526378525,1.20124E-41,
SMU_213c,1.52298629,0.000162711,
SMU_656,1.512282643,8.99267E-07,
SMU_739c,1.510612329,6.27002E-35,
SMU_838,1.505196222,3.84076E-36,
SMU_1030,1.495756411,0.000120548,
SMU_757,1.494250109,1.30219E-39,
SMU_679,1.4931744,7.88248E-30,
SMU_1681c,1.489190752,2.8594E-31,
SMU_509,1.485973657,1.22554E-37,
SMU_2028,1.48400969,9.48087E-64,
