gene,log2FoldChange
SMU_01,0.415037499
SMU_02,1.584962501
SMU_05,-2.862496476
SMU_06,-3.177598929
SMU_07,2
SMU_08,-2.234412829
SMU_09,-2.265620654
SMU_10,-5.057509619
SMU_100,-4.844580694
SMU_1000,-2.584962501
SMU_1001,-2.800375252
SMU_1002,-2.716207034
SMU_1003,-2.372639938
SMU_1004,-2.428263101
SMU_1005,-2.262601878
SMU_1006,-2.531491292
SMU_1007,-2.355348998
SMU_1008,-1.946182627
SMU_1009,-1.998451213
SMU_101,-4.518774909
SMU_1010,-0.935042919
SMU_1011,-1.834997677
SMU_1012c,-2.527673235
SMU_1013c,-2.203939407
SMU_1014,-3.100231339
SMU_1016,-1.700986297
SMU_1017,-2.053154113
SMU_1018,-1.593136432
SMU_1019,-1.894953976
SMU_102,-3.13913558
SMU_1020,-2.055722475
SMU_1021,-2.121176389
SMU_1022,-2.387401932
SMU_1023,-2.666049828
SMU_1024c,-1.478047297
SMU_1025,-2.317131099
SMU_1026,-2.535219557
SMU_1027,-1.786329256
SMU_1028,-2.342236017
SMU_1029,-2.736965594
SMU_103,-3.134977338
SMU_1030,-2.069386063
SMU_1031,-2.059605955
SMU_1032,-2.063277832
SMU_1034c,-6.592131996
SMU_1035,-2.016858045
SMU_1036,-2.945245798
SMU_1037c,-1.809292963
SMU_1038c,-2.040769606
SMU_1039c,-2.242097831
SMU_104,-2.951677362
SMU_1040c,1.748495859
SMU_1041,-2.099261631
SMU_1042,-2.19261445
SMU_1043c,-10.13057056
SMU_1044c,-4.531409411
SMU_1045c,
SMU_1046c,-3.123701985
SMU_1047c,0.370160007
SMU_1048,-0.427592022
SMU_105,-2.57805223
SMU_1050,-6.226068079
SMU_1051,2.321928095
SMU_1052,-2.645991934
SMU_1053,-6.281127564
SMU_1054,-3.211983079
SMU_1055,-2.492481585
SMU_1056,-2.047816235
SMU_1057,-2.461193366
SMU_1058,-3.362755599
SMU_1059,-4.736900723
SMU_1060,-4.138414029
SMU_1061,-5.483341596
SMU_1062,-3.523916296
SMU_1063,-3.410602776
SMU_1064c,-1.983087896
SMU_1065c,-0.637916496
SMU_1066,-1.988412026
SMU_1067c,-2.442594589
SMU_1068c,-2.375671361
SMU_1069c,-3.662965013
SMU_106c,-1.874469118
SMU_107,-3.131705679
SMU_1070c,-2.466757616
SMU_1071c,-2.049798602
SMU_1072c,-1.513527363
SMU_1073,-10.4429435
SMU_1074,-3.938599455
SMU_1075,0
SMU_1076,-1.983605562
SMU_1077,-11.90133832
SMU_1078c,-2.737631812
SMU_1079c,-2.860508345
SMU_108,0.956588926
SMU_1080c,-7.661350569
SMU_1081c,-4.114943578
SMU_1082,-4.330916878
SMU_1083c,-5.073248982
SMU_1084,-8.682994584
SMU_1085,0.584962501
SMU_1086,-3.220329955
SMU_1087,-2.662965013
SMU_1088,-2.171987468
SMU_1089,-1.407453132
SMU_109,-1.935944475
SMU_1090,-2.361066489
SMU_1091,-2.2122043
SMU_1093,1.517300793
SMU_1094,-2.405920155
SMU_1095,-1.906970676
SMU_1096,-2.665986998
SMU_1097c,-2.326196427
SMU_1098c,-2.278772956
SMU_11,-3.415037499
SMU_110,-2.363934027
SMU_1100c,-1.957560307
SMU_1102,-2.507402997
SMU_1104c,-1.642772407
SMU_1105c,-1.347255441
SMU_1106c,-1.890641244
SMU_1107c,-2.085877835
SMU_1108c,-1.862496476
SMU_1109c,-2.050873555
SMU_1111c,-1.805092462
SMU_1112c,-9.157346935
SMU_1113,-1.373173981
SMU_1114,-2.050626073
SMU_1115,
SMU_1116c,-2.981468717
SMU_1117,-3.477804705
SMU_1118c,-3.18862844
SMU_1119c,-2.606033729
SMU_1120,-3.043590677
SMU_1121c,-2.795456339
SMU_1122,-2.776528928
SMU_1123,-2.994497024
SMU_1124,-2.943131701
SMU_1125c,-2.041912456
SMU_1126,
SMU_1127,-2.915132449
SMU_1128,-4.462356199
SMU_1129,-3.317340825
SMU_112c,-1.967940759
SMU_113,-2.205979331
SMU_1131c,-1.136034633
SMU_1132,-1.669772582
SMU_1133,-5.584962501
SMU_1134c,-4.285402219
SMU_1135,-4.266786541
SMU_1136,-1.584962501
SMU_1137,-2.938599455
SMU_1138,0
SMU_1139c,-6.066687199
SMU_114,-2.150550162
SMU_1140c,-4.44250318
SMU_1141c,-4.670247689
SMU_1142c,-5.888743249
SMU_1143c,-3.169925001
SMU_1144,-2.237139007
SMU_1145c,-2.839307324
SMU_1146c,-1.95352557
SMU_1147c,-2.243394692
SMU_1148,-2.179047632
SMU_1149,-2.692477055
SMU_115,-2.248601484
SMU_1150,-2.815001336
SMU_1151c,-2.636275487
SMU_1152c,-3.283135612
SMU_1153c,-2.649982293
SMU_1154c,-1.616856928
SMU_1155,-2.165790429
SMU_1156c,-2.857197348
SMU_1157c,-2.991724093
SMU_1158c,-3.376929484
SMU_1159c,-2.380272081
SMU_116,-2.612527249
SMU_1160c,-2.952166499
SMU_1161c,-3.229292404
SMU_1163c,-2.365848146
SMU_1164c,-2.316098055
SMU_1165c,-2.07598395
SMU_1166c,-2.144133337
SMU_1167c,-2.028935889
SMU_1168,-2.070889482
SMU_1169c,-3.370457989
SMU_1170,-2.183583411
SMU_1171c,-3.626828476
SMU_1172c,-3.612409506
SMU_1173,-3.173569943
SMU_1174,-6.895704575
SMU_1175,-2.152342033
SMU_1176,-6.181867534
SMU_1177c,-1.07374834
SMU_1178c,-3.092364018
SMU_1179c,-2.435830703
SMU_117c,-2.358189293
SMU_1180,-2.241840184
SMU_1182,-4.720122084
SMU_1183,-3.628199595
SMU_1184c,-3.707666348
SMU_1185,-3.014391092
SMU_1187,1.584962501
SMU_1188,-3.235174601
SMU_1189c,-2.616748989
SMU_118c,-2.235556468
SMU_119,-2.64287776
SMU_1190,-0.710493383
SMU_1191,-1.807354922
SMU_1192,-1.222392421
SMU_1193,-4.426264755
SMU_1194,-1.983385286
SMU_1195,-2.628289932
SMU_1196c,-2.816562421
SMU_1197,-1.982366325
SMU_12,-0.036320177
SMU_120,-3.492674911
SMU_1200,-5.177917792
SMU_1201c,
SMU_1203,-9.612254192
SMU_1204,-1
SMU_1205c,-2.851463274
SMU_1206c,-4.47925306
SMU_1207,-4.901436166
SMU_1208c,-2.797884242
SMU_1209c,-3.756622554
SMU_121,-2.792454696
SMU_1210,-0.678071905
SMU_1211,-0.710493383
SMU_1213c,-2.970789274
SMU_1214,-5.660854266
SMU_1215,-3.603530261
SMU_1216c,-3.755603586
SMU_1217c,-2.36320437
SMU_1218,-3.328487941
SMU_1219c,-2.946847377
SMU_1220c,-3.480890047
SMU_1221,-5.625032315
SMU_1222,-7.292045492
SMU_1223,-5.518570435
SMU_1224,-4.502401658
SMU_1225,-2.681762608
SMU_1226c,-2.840140141
SMU_1227,-2.995670365
SMU_1228c,-2.331880207
SMU_1229,-3.090270188
SMU_123,-2.986060809
SMU_1230c,-1.617887139
SMU_1231c,-4.266786541
SMU_1232c,-3.707944001
SMU_1233,-2.626550269
SMU_1234,-7.189824559
SMU_1235,-3.601784542
SMU_1236c,-2.544493699
SMU_1237c,-2.437546677
SMU_1238c,-2.762871035
SMU_1239,-2.396418038
SMU_124,-3.049300811
SMU_1240c,-3.345079059
SMU_1241,-3.237387969
SMU_1243,-2.54077531
SMU_1245c,-2.640244936
SMU_1246c,-2.531599275
SMU_1247,1
SMU_1249c,-1.896798299
SMU_125,-0.69726547
SMU_1250c,-2.057084841
SMU_1251,-1.849214885
SMU_1252,-2.857851099
SMU_1253c,-2.511264403
SMU_1254,-3.445663463
SMU_1255c,-2.164867345
SMU_1256c,-3.680782759
SMU_1257c,-1.725968563
SMU_1258c,-2.64226117
SMU_1259,-1.889156038
SMU_1260c,-2.130198723
SMU_1261c,-3.172572149
SMU_1262c,-3.15067442
SMU_1263,-2.998217795
SMU_1264,-3.382911693
SMU_1265,-3.343221333
SMU_1266,-6.303780748
SMU_1267c,-4.120294234
SMU_1268,-2.909610097
SMU_1269,-5.188176706
SMU_127,-1.865093588
SMU_1270,-3.813277545
SMU_1271,-2.985339693
SMU_1272,-2.532706264
SMU_1273,-5.334915112
SMU_1276c,-3.807354922
SMU_1277,-1.415037499
SMU_1278c,-9.169925001
SMU_1279c,-0.730318516
SMU_128,-1.488403368
SMU_1280c,-2.024771063
SMU_1282,-2.720178301
SMU_1284c,-2.668039347
SMU_1286c,-2.374544361
SMU_1287,-2.722235304
SMU_1288,-3.888743249
SMU_1289c,-2.761994389
SMU_129,-2.598165116
SMU_1290c,-3.066240184
SMU_1291c,-2.129283017
SMU_1292c,-2.463625328
SMU_1293c,-2.440431273
SMU_1294,0
SMU_1295,-0.186768512
SMU_1296,-2.50916715
SMU_1297,-11.16176174
SMU_1298,
SMU_1299c,-2.78742302
SMU_13,1.750021747
SMU_130,-1.933870411
SMU_1300c,-1.946037172
SMU_1301c,-2.50671819
SMU_1302,-2.329254092
SMU_1303c,-2.378793979
SMU_1304c,-2.384636468
SMU_1305c,-1.362325327
SMU_1306c,-3.492045059
SMU_1307c,-2.163478854
SMU_1308,-2.040574743
SMU_1309c,-2.291813822
SMU_131,-2.403871649
SMU_1310,-2.582163867
SMU_1311,-2.255827433
SMU_1312,-4.893715207
SMU_1313c,-2.776503348
SMU_1314,-3.105534414
SMU_1315c,-2.800026181
SMU_1316c,-1.087406302
SMU_1317c,-2.563458815
SMU_1319c,-1.244449342
SMU_132,-2.345297929
SMU_1321c,-1.64252239
SMU_1322,-2.543370437
SMU_1323,-2.27106278
SMU_1324,-6.321928095
SMU_1325,-8.614709844
SMU_1326,-1
SMU_1327c,-1.744671952
SMU_1329c,-2.468034477
SMU_1330c,-6.330916878
SMU_1331c,-2.382284057
SMU_1332c,-2.588947849
SMU_1334,-2.787673487
SMU_1335c,-2.601639158
SMU_1336,-2.808151221
SMU_1337c,-3.536198782
SMU_1338c,-3.277560823
SMU_1339,-2.62482859
SMU_133c,-2.038631079
SMU_134,-7.113361022
SMU_1340,-2.303838165
SMU_1341c,-2.177741902
SMU_1342,-2.295217937
SMU_1343c,-2.999405524
SMU_1344c,-3.722943027
SMU_1345c,-2.550151393
SMU_1346,-3.339423095
SMU_1347c,
SMU_1348c,
SMU_1349,-2.723104103
SMU_135,-1.367868108
SMU_1351,-3.331976373
SMU_1352,-3.878190283
SMU_1353,-2.178597303
SMU_1354c,-2.729473441
SMU_1355c,-1.754453021
SMU_1356c,-1.908950118
SMU_1357,-1.869396345
SMU_1358,-6.129283017
SMU_1359,-2.653927967
SMU_1360c,-1.483815777
SMU_1361c,-3.414815392
SMU_1363c,-3.974909019
SMU_1365c,
SMU_1366c,
SMU_1367c,-2.329076062
SMU_1368,-2.222392421
SMU_1369,-4.392317423
SMU_136c,-0.010083781
SMU_137,-1.521162302
SMU_1370c,-3.95419631
SMU_1372c,-2.131023651
SMU_1373c,-2.428236997
SMU_1374,-2.416403041
SMU_1375c,-2.861086906
SMU_1377c,-2.00583694
SMU_1378,-2.235872912
SMU_1379,
SMU_138,-2.560662816
SMU_1380,
SMU_1381,-3.209453366
SMU_1382,-2.87469839
SMU_1383,-2.583092513
SMU_1384,-1.662677638
SMU_1386,1.642149825
