gene,log2FoldChange
SMU_1691,-14.73062934
SMU_364,-11.4278366
SMU_1297,-11.16176174
SMU_1746c,-10.88034881
SMU_396,-10.74819285
SMU_249,-10.54303182
SMU_233,-10.51963625
SMU_304,-10.46250227
SMU_1653,-10.25124569
SMU_248,-10.21892644
SMU_2128,-10.18790188
SMU_1994,-10.15101654
SMU_1822,-9.909893084
SMU_1495,-9.759888183
SMU_181,-9.703903573
SMU_696,-9.645658432
SMU_1467,-9.619302955
SMU_1076,-9.451211112
SMU_1492,-9.338067798
SMU_971,-9.299589633
SMU_542,-9.270128435
SMU_1324,-9.129283017
SMU_676,-9.06608919
SMU_852,-9.005624549
SMU_1490,-8.957784893
SMU_1493,-8.939579214
SMU_483,-8.818262608
SMU_1084,-8.682994584
SMU_970,-8.645658432
SMU_1546,-8.412922627
SMU_1798c,-8.391840262
SMU_1491,-8.072941102
SMU_475,-8.018045591
SMU_1073,-7.983511877
SMU_755,-7.871391914
SMU_887,-7.841353398
SMU_1043c,-7.808642468
SMU_1728,-7.727920455
SMU_1993,-7.703038389
SMU_434,-7.674780763
SMU_1846c,-7.636624621
SMU_831,-7.635415827
SMU_1203,-7.612254192
SMU_860,-7.52146349
SMU_480,-7.351943075
SMU_251,-7.302609634
SMU_1688,-7.233619677
SMU_900,-7.225609134
SMU_385,-7.184875343
SMU_723,-7.183635381
SMU_967,-7.171927354
SMU_1845,-7.118941073
SMU_856,-7.092757141
SMU_937,-7.06608919
SMU_14,-7.057450272
SMU_949,-6.933236692
SMU_1514,-6.845490051
SMU_888,-6.777955409
SMU_1499,-6.760985303
SMU_1222,-6.726448317
SMU_1500,-6.564846568
SMU_825,-6.562242424
SMU_80,-6.533506718
SMU_1690,-6.473425846
SMU_1741,-6.44625623
SMU_1744,-6.36923381
SMU_1978,-6.297680549
SMU_218,-6.169925001
SMU_2085,-6.159871337
SMU_317,-6.129283017
SMU_968,-6.122158583
SMU_26,-6.081083929
SMU_774,-6.044394119
SMU_1080c,-5.965356756
SMU_1061,-5.926948248
SMU_454,-5.84434913
SMU_1624,-5.832890014
SMU_1050,-5.711494907
SMU_1632,-5.700439718
SMU_1235,-5.63420602
SMU_96,-5.594946589
SMU_540,-5.590924059
SMU_2009,-5.554588852
SMU_83,-5.545112988
SMU_1781,-5.474451136
SMU_1672,-5.428747879
SMU_417,-5.397512585
SMU_1656,-5.335786071
SMU_1786,-5.303780748
SMU_582,-5.181329765
SMU_1606,-5.163230349
SMU_1709,-5.091188331
SMU_352,-5.087462841
SMU_1819,-5.06608919
SMU_2137c,-5.059564554
SMU_1947,-5.032688619
SMU_948,-5.023672829
SMU_818,-5.022367813
SMU_618,-5.012133756
SMU_10,-4.961931959
SMU_2044,-4.947479146
SMU_25,-4.943118978
SMU_134,-4.916324175
SMU_624,-4.857980995
SMU_1221,-4.825330966
SMU_855,-4.813068573
SMU_246,-4.785102115
SMU_940c,-4.725237138
SMU_859,-4.704595348
SMU_2088,-4.701899197
SMU_328,-4.693586047
SMU_410,-4.684805818
SMU_353,-4.662965013
SMU_780,-4.64385619
SMU_1565,-4.623933732
SMU_858,-4.558267634
SMU_833,-4.541092521
SMU_1174,-4.525336125
SMU_1137,-4.523561956
SMU_1739,-4.498250868
SMU_1542c,-4.475733431
SMU_64,-4.458494499
SMU_857,-4.450116364
SMU_1214,-4.438461845
SMU_1847,-4.334984248
SMU_1476c,-4.32687307
SMU_469,-4.325253556
SMU_549,-4.321928095
SMU_1923c,-4.300123725
SMU_1193,-4.288761231
SMU_611,-4.239710128
SMU_1708,-4.220795636
